rank,name,author,link,star,fork,language,issues,description,last_commit
75,Swift-30-Projects,soapyigu,https://github.com/soapyigu/Swift-30-Projects,8138,1834,Swift,4,30 mini Swift Apps for self-study,2023-06-07T19:22:26Z
76,AlDente-Charge-Limiter,AppHouseKitchen,https://github.com/AppHouseKitchen/AlDente-Charge-Limiter,8107,301,Swift,124,Menubar Tool to set Charge Limits and Prolong Battery Lifespan,2024-11-21T09:17:30Z
77,LTMorphingLabel,lexrus,https://github.com/lexrus/LTMorphingLabel,8104,780,Swift,24,[EXPERIMENTAL] Graceful morphing effects for UILabel written in Swift.,2024-02-24T06:05:55Z
78,SwiftFormat,nicklockwood,https://github.com/nicklockwood/SwiftFormat,8038,635,Swift,292,A command-line tool and Xcode Extension for formatting Swift code,2025-01-03T19:38:54Z
79,swift-nio,apple,https://github.com/apple/swift-nio,8024,653,Swift,180,"Event-driven network application framework for high performance protocol servers & clients, non-blocking.",2025-01-08T16:33:34Z
80,KeychainAccess,kishikawakatsumi,https://github.com/kishikawakatsumi/KeychainAccess,8001,793,Swift,46,"Simple Swift wrapper for Keychain that works on iOS, watchOS, tvOS and macOS.",2024-05-31T12:29:46Z
81,Reachability.swift,ashleymills,https://github.com/ashleymills/Reachability.swift,7963,948,Swift,80,Replacement for Apple's Reachability re-written in Swift with closures,2024-10-03T11:54:56Z
82,CopilotForXcode,intitni,https://github.com/intitni/CopilotForXcode,7937,395,Swift,33,"The first GitHub Copilot, Codeium and ChatGPT Xcode Source Editor Extension",2025-01-10T09:22:21Z
83,Awesome-ARKit,olucurious,https://github.com/olucurious/Awesome-ARKit,7885,914,Swift,4,A curated list of awesome ARKit projects and resources. Feel free to contribute!,2024-05-09T12:55:22Z
84,Gifski,sindresorhus,https://github.com/sindresorhus/Gifski,7865,298,Swift,26,🌈 Convert videos to high-quality GIFs on your Mac,2024-12-15T11:25:12Z
