rank,name,author,link,star,fork,language,issues,description,last_commit
58,Must-Reading-on-ISAC,yuanhao-cui,https://github.com/yuanhao-cui/Must-Reading-on-ISAC,670,156,MATLAB,3,"Must Reading Papers, Research Library, Open-Source Code on Integrated Sensing and Communications (aka. Joint Radar and Communications, Joint Sensing and Communications, Dual-Functional Radar Communications)",2023-07-21T03:21:52Z
59,mexopencv,kyamagu,https://github.com/kyamagu/mexopencv,661,319,MATLAB,37,Collection and a development kit of matlab mex functions for OpenCV library,2020-10-23T01:25:05Z
60,vgg_face2,ox-vgg,https://github.com/ox-vgg/vgg_face2,655,112,MATLAB,5,None,2020-02-18T15:30:05Z
61,OptimTraj,MatthewPeterKelly,https://github.com/MatthewPeterKelly/OptimTraj,640,209,MATLAB,28,A trajectory optimization library for Matlab,2023-06-06T00:37:01Z
62,gptoolbox,alecjacobson,https://github.com/alecjacobson/gptoolbox,638,169,MATLAB,59,Matlab toolbox for Geometry Processing.,2024-12-20T16:35:05Z
63,cnn-for-image-retrieval,willard-yuan,https://github.com/willard-yuan/cnn-for-image-retrieval,633,225,MATLAB,1,":sunrise:The code of post ""Image retrieval using MatconvNet and pre-trained imageNet""",2021-01-05T04:45:05Z
64,siamese-fc,bertinetto,https://github.com/bertinetto/siamese-fc,627,223,MATLAB,34,Arbitrary object tracking at 50-100 FPS with Fully Convolutional Siamese networks.,2019-05-16T10:10:53Z
65,eeglab,sccn,https://github.com/sccn/eeglab,625,246,MATLAB,66,EEGLAB is an open source signal processing environment for electrophysiological signals running on Matlab and developed at the SCCN/UCSD,2024-12-18T18:32:48Z
66,hashing-baseline-for-image-retrieval,willard-yuan,https://github.com/willard-yuan/hashing-baseline-for-image-retrieval,623,255,MATLAB,4,:octocat:Various hashing methods for image retrieval and serves as the baselines,2022-04-16T14:29:21Z
67,chebfun,chebfun,https://github.com/chebfun/chebfun,622,143,MATLAB,153,Chebfun:  numerical computing with functions.,2025-01-08T13:56:51Z
