rank,name,author,link,star,fork,language,issues,description,last_commit
53,edgetunnel,zizifn,https://github.com/zizifn/edgetunnel,7577,31541,JavaScript,82,Running V2ray inside edge/serverless runtime,2024-11-27T09:26:03Z
54,courses,DataScienceSpecialization,https://github.com/DataScienceSpecialization/courses,4074,31360,HTML,26,Course materials for the Data Science Specialization: https://www.coursera.org/specialization/jhudatascience/1,2021-03-30T06:51:57Z
55,cpython,python,https://github.com/python/cpython,64664,30846,Python,7208,The Python programming language,2025-01-11T09:17:36Z
56,BPB-Worker-Panel,bia-pain-bache,https://github.com/bia-pain-bache/BPB-Worker-Panel,6494,30674,JavaScript,99,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside chain proxies, offering full DNS, clean IP,  Fragment, Warp, Warp pro and routing settings for cross-platform clients using Sing-box, Clash/Mihomo and Xray cores.",2025-01-10T10:22:13Z
57,vue-element-admin,PanJiaChen,https://github.com/PanJiaChen/vue-element-admin,88487,30510,Vue,1242,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,2024-10-24T11:25:46Z
58,javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,189303,30377,JavaScript,128,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,2024-08-19T12:32:07Z
59,DefinitelyTyped,DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,49008,30248,TypeScript,559,The repository for high quality TypeScript type definitions.,2025-01-10T18:27:53Z
60,node,nodejs,https://github.com/nodejs/node,108849,30217,JavaScript,1591,Node.js JavaScript runtime ✨🐢🚀✨,2025-01-11T00:03:08Z
61,build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,324884,30079,Markdown,191,Master programming by recreating your favorite technologies from scratch.,2024-09-03T14:39:35Z
62,vscode,microsoft,https://github.com/microsoft/vscode,166030,30005,TypeScript,8186,Visual Studio Code,2025-01-11T07:31:52Z
63,simple-java-maven-app,jenkins-docs,https://github.com/jenkins-docs/simple-java-maven-app,463,29895,Shell,0,For an introductory tutorial on how to use Jenkins to build a simple Java application with Maven.,2024-12-16T18:51:46Z
64,mall,macrozheng,https://github.com/macrozheng/mall,78787,28969,Java,16,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,2025-01-02T02:47:38Z
